2022;7747709;3799485;3948224
2021;7739758;3797115;3942643
2020;7722203;3787684;3934519
2019;7619494;3732732;3886762
2018;7543825;3694082;3849743
2017;7496276;3673224;3823052
2016;7448332;3652339;3795993
2015;7424754;3642789;3781965
2014;7433894;3652647;3781247
2013;7478968;3683896;3795072
2012;7515398;3713546;3801852
2011;7501853;3715592;3786261
2010;7462044;3699609;3762435
2009;7416605;3681611;3734994
2008;7298313;3620365;3677948
2007;7146734;3538467;3608267
2006;6994937;3459688;3535249
2005;6846692;3378911;3467781
2004;6693297;3293661;3399636
2003;6558740;3222555;3336185
2002;6398166;3134140;3264026
2001;6253305;3059811;3193494
2000;6174547;3015079;3159468
1999;6147717;3001699;3146018
1998;6125339;2991004;3134335
1997;6110000;2983860;3126140
1996;6104729;2982367;3122362
1995;6100983;2982307;3118676
1994;6100436;2983411;3117025
1993;6096899;2982531;3114368
1992;6087339;2977886;3109453
1991;6080751;2974833;3105918
1990;6062273;2966266;3096007
1989;6041469;2956623;3084846
1988;6021225;2947283;3073942
1987;5999320;2937195;3062125
1986;5978032;2927454;3050578
1985;5980322;2929941;3050381
1984;5978426;2929616;3048810
1983;5974821;2928748;3046073
1982;5962723;2923258;3039465
1981;5949829;2916527;3033302